,Ticker,Share Issued,Total Assets,Net PPE,Accounts Receivable,Cash And Cash Equivalents,Total Debt,Accounts Payable,Stockholders Equity,Retained Earnings,Working Capital,Total Revenue,Operating Income,EBITDA,Net Income,Capital Expenditure,Free Cash Flow
0,AX,70813637.0,23981154000.0,,300907000.0,2001321000.0,437427000.0,314399000.0,2603900000.0,2507850000.0,,304660000.0,,,105206000.0,-8551000.0,65130000.0
1,MRUS,68828749.0,782693000.0,20024000.0,1261000.0,293294000.0,9912000.0,4164000.0,647927000.0,-968387000.0,481996000.0,9140000.0,-88652000.0,-88063000.0,-30923000.0,-20000.0,-66678000.0
2,TENX,298281.0,96686000.0,,,94851000.0,,3157000.0,91993000.0,-314855000.0,91993000.0,0.0,-7294772.0,-6267483.0,-6267018.0,,-3527033.0
3,RYTM,62390654.0,392273000.0,4109000.0,18512000.0,89137000.0,3938000.0,12328000.0,164549000.0,-1155338000.0,258683000.0,41830000.0,-41255000.0,-37552000.0,-43292000.0,,-18845000.0
4,GALT,62308075.0,17495000.0,0.0,,15120000.0,106245000.0,5656000.0,-103070000.0,-401572000.0,-18157000.0,0.0,-12428000.0,-10232000.0,-11967000.0,,-12791000.0
5,ATR,65966138.0,4527088000.0,1555965000.0,742703000.0,125839000.0,1057401000.0,,2537558000.0,2419414000.0,303743000.0,887305000.0,115490000.0,183013000.0,78798000.0,-59337000.0,23405000.0
6,CHRW,179199000.0,5297926000.0,471252000.0,2383709000.0,145762000.0,1741132000.0,1178335000.0,1722051000.0,5786337000.0,644705000.0,4184656000.0,183799000.0,208079000.0,149306000.0,-15189000.0,252741000.0
7,FFIC,38677787.0,9038972000.0,63652000.0,62036000.0,109409000.0,962497000.0,,724539000.0,492003000.0,,-19787000.0,,,-49245000.0,-690000.0,2978000.0
8,GEVO,239407448.0,583941000.0,224583000.0,2411000.0,189389000.0,70617000.0,539000.0,489488000.0,-800237000.0,179350000.0,5700000.0,-14714000.0,-10414000.0,-17607000.0,-14626000.0,-33469000.0
9,CVI,100629209.0,4251000000.0,2167000000.0,320000000.0,695000000.0,1934000000.0,620000000.0,580000000.0,-927000000.0,395000000.0,1646000000.0,-130000000.0,-61000000.0,-123000000.0,-94000000.0,-289000000.0
10,CHA,189249500.0,6596106000.0,804196000.0,121967000.0,4754783000.0,548056000.0,597091000.0,2653905000.0,2752024000.0,3141740000.0,3334426000.0,642483000.0,642483000.0,659022000.0,-45104000.0,527550000.0
11,INVA,62665000.0,1301060000.0,2967000.0,20392000.0,304964000.0,451095000.0,2132000.0,691159000.0,-1797000.0,318223000.0,91806000.0,43139000.0,35954000.0,20332000.0,-4000000.0,55239000.0
12,TBCH,20079323.0,298861000.0,5844000.0,93118000.0,12995000.0,96282000.0,34839000.0,120604000.0,-118094000.0,64699000.0,146077000.0,24448000.0,26402000.0,20139000.0,-1522000.0,12792000.0
13,AREN,47556267.0,116352000.0,2488000.0,31115000.0,4362000.0,123695000.0,4844000.0,-130328000.0,-479363000.0,-82022000.0,36228000.0,10344000.0,12624000.0,6879000.0,-2356000.0,-10925000.0
14,LUNG,39785969.0,162850000.0,21452000.0,13120000.0,70905000.0,56471000.0,3827000.0,85809000.0,-467555000.0,111811000.0,23765000.0,-13417000.0,-12001000.0,-13175000.0,-111000.0,-6841000.0
15,LDI,195103246.0,6344028000.0,81511000.0,29617000.0,421576000.0,4355055000.0,187717000.0,272892000.0,-550623000.0,,198153000.0,,,-33234000.0,-6917000.0,33645000.0
16,VATE,13166057.0,891100000.0,187300000.0,188200000.0,48800000.0,719200000.0,84800000.0,-180400000.0,-521900000.0,-92300000.0,236600000.0,2500000.0,12800000.0,-16600000.0,-7200000.0,34200000.0
17,JACK,82971349.0,2773904000.0,1853483000.0,61386000.0,74978000.0,3173197000.0,69394000.0,-827131000.0,1891977000.0,-212711000.0,469438000.0,76835000.0,91254000.0,33686000.0,-35099000.0,70557000.0
18,ECG,50980924.0,1288463000.0,201454000.0,589005000.0,86012000.0,363202000.0,138097000.0,422612000.0,283972000.0,403859000.0,759638000.0,46005000.0,53970000.0,34468000.0,-13772000.0,66923000.0
19,ADI,495976483.0,47967546000.0,3355240000.0,1192442000.0,2349994000.0,7566814000.0,368939000.0,35070535000.0,10131590000.0,2762080000.0,2423174000.0,555200000.0,1026443000.0,391316000.0,-148978000.0,977831000.0
20,NUKKW,2098999.0,984999.0,,,3678.0,4002072.0,448307.0,-7097713.0,-40287764.0,-6104362.0,236099.0,-1033010.0,4927370.0,4455233.0,,-1199326.0
21,CLVT,683086894.0,11492700000.0,110400000.0,830500000.0,354000000.0,4595300000.0,120000000.0,5027100000.0,-7417400000.0,-186300000.0,593700000.0,24600000.0,164600000.0,-103900000.0,-60900000.0,110300000.0
22,BTM,20997048.0,80104000.0,29442000.0,275000.0,29472000.0,63507000.0,11557000.0,-23632000.0,-44349000.0,-6296000.0,136827000.0,10428000.0,12408000.0,-6648000.0,-864000.0,4427000.0
23,KFRC,19216000.0,368195000.0,21429000.0,220532000.0,444000.0,80920000.0,42718000.0,138027000.0,546916000.0,118524000.0,330028000.0,11631000.0,13095000.0,8145000.0,-4149000.0,-3900000.0
24,MTH,71830262.0,7700218000.0,47015000.0,,1011652000.0,1892873000.0,229845000.0,5194744000.0,5090096000.0,6752006000.0,1365280000.0,150661000.0,166108000.0,122806000.0,-5592000.0,-48168000.0
25,INSP,29740176.0,808383000.0,95239000.0,93068000.0,150150000.0,31793000.0,38687000.0,689695000.0,-291914000.0,542305000.0,239718000.0,31884000.0,56754000.0,35224000.0,-7027000.0,62154000.0
26,XTIA,1685021.0,24291000.0,546000.0,706000.0,4105000.0,3072000.0,5487000.0,6574000.0,-93562000.0,-8840000.0,1033000.0,-7453000.0,-12980000.0,-13856000.0,-22000.0,-8024000.0
27,NEHC,13165152.0,7382534.0,4552419.0,570702.0,120010.0,2535671.0,1472961.0,528631.0,10145.0,-924307.0,,,,,-189355.0,-638084.0
28,FSBW,7833014.0,3029177000.0,35134000.0,13881000.0,33362000.0,354956000.0,,295767000.0,257113000.0,,43299000.0,,,7382000.0,-382000.0,40699000.0
29,CASS,15505772.0,2395081000.0,34174000.0,55906000.0,349728000.0,,1149276000.0,229030000.0,148487000.0,,41064000.0,,,4594000.0,-1481000.0,17149000.0
