,Ticker,Name,Last Sale,Net Change,Percent Change,Market Cap
0,MSFT,Microsoft Corporation Common Stock,$425.40,30.14,7.625%,"3,162,416,042,769"
1,NVDA,NVIDIA Corporation Common Stock,$111.61,2.69,2.47%,"2,723,284,000,000"
2,AMZN,"Amazon.com, Inc. Common Stock",$190.20,5.78,3.134%,"2,015,688,122,750"
3,GOOG,Alphabet Inc. Class C Capital Stock,$162.79,1.90,1.181%,"1,975,456,650,000"
4,GOOGL,Alphabet Inc. Class A Common Stock,$161.30,2.50,1.574%,"1,957,375,500,000"
5,META,"Meta Platforms, Inc. Class A Common Stock",$572.21,23.21,4.228%,"1,449,785,168,026"
6,BRK/A,Berkshire Hathaway Inc.,"$795,400.00","-5,140.00",-0.642%,"1,169,933,179,600"
7,BRK/B,Berkshire Hathaway Inc.,$530.23,-3.02,-0.566%,"1,169,852,478,245"
8,AVGO,Broadcom Inc. Common Stock,$197.33,4.86,2.525%,"927,835,540,326"
9,TSLA,"Tesla, Inc. Common Stock",$280.52,-1.64,-0.581%,"903,542,636,310"
10,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$172.72,6.03,3.617%,"895,820,337,043"
11,WMT,Walmart Inc. Common Stock,$97.41,0.16,0.165%,"780,921,304,340"
12,LLY,Eli Lilly and Company Common Stock,$794.10,-104.85,-11.664%,"752,941,796,206"
13,JPM,JP Morgan Chase & Co. Common Stock,$246.89,2.27,0.928%,"690,330,634,782"
14,V,Visa Inc.,$342.45,-3.05,-0.883%,"636,195,842,892"
15,MA,Mastercard Incorporated Common Stock,$546.63,-1.43,-0.261%,"498,367,220,635"
16,NFLX,"Netflix, Inc. Common Stock","$1,133.47",1.75,0.155%,"482,499,148,039"
17,XOM,Exxon Mobil Corporation Common Stock,$105.78,0.15,0.142%,"458,994,579,649"
18,COST,Costco Wholesale Corporation Common Stock,$999.04,4.54,0.457%,"443,257,420,977"
19,ORCL,Oracle Corporation Common Stock,$145.49,4.77,3.39%,"407,988,004,660"
20,PG,Procter & Gamble Company (The) Common Stock,$159.98,-2.59,-1.593%,"375,079,834,599"
21,JNJ,Johnson & Johnson Common Stock,$154.46,-1.85,-1.184%,"371,642,078,674"
22,UNH,UnitedHealth Group Incorporated Common Stock (DE),$400.68,-10.76,-2.615%,"366,506,937,586"
23,HD,"Home Depot, Inc. (The) Common Stock",$358.30,-2.19,-0.608%,"356,161,725,794"
24,ABBV,AbbVie Inc. Common Stock,$193.34,-1.76,-0.902%,"341,313,708,439"
25,KO,Coca-Cola Company (The) Common Stock,$71.29,-1.26,-1.737%,"306,618,318,160"
26,BAC,Bank of America Corporation Common Stock,$40.17,0.29,0.727%,"305,479,886,097"
27,NVO,Novo Nordisk A/S Common Stock,$65.60,-0.85,-1.279%,"292,904,000,000"
28,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$120.53,1.10,0.921%,"287,080,347,084"
29,TMUS,"T-Mobile US, Inc. Common Stock",$247.00,0.05,0.02%,"280,454,941,676"
30,SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),$13.93,-0.27,-1.901%,"273,383,562,637"
31,PLTR,Palantir Technologies Inc. Class A Common Stock,$116.20,-2.24,-1.891%,"272,530,425,997"
32,PM,Philip Morris International Inc Common Stock,$170.05,-1.31,-0.764%,"264,685,746,799"
33,ASML,ASML Holding N.V. New York Registry Shares,$666.72,-1.36,-0.204%,"262,210,121,798"
34,CRM,"Salesforce, Inc. Common Stock",$269.33,0.62,0.231%,"258,826,130,000"
35,TM,Toyota Motor Corporation Common Stock,$190.58,-0.64,-0.335%,"256,790,770,548"
36,CVX,Chevron Corporation Common Stock,$136.26,0.20,0.147%,"239,899,156,652"
37,CCZ,Comcast Holdings ZONES,$62.95,UNCH,--,"235,036,662,205"
38,WFC,Wells Fargo & Company Common Stock,$71.81,0.80,1.127%,"233,682,841,447"
